DN,SurfaceTemp,Temperature,SurfaceSalCorrected,Salinity,dayDN,dailyAverage,oceanSalEstimate,AvgEstimatedTemp
2014-02-07 02:15:00,7.6,7.67,32.54700498666593,30.364037746104376,2014-02-07,8.429166666666667,31.455521366385156,7.8997222222222225
2014-02-08 15:55:00,8.4,8.33,32.48633939507958,30.09114328070574,2014-02-08,8.570833333333333,31.28874133789266,8.43361111111111
2014-02-09 03:50:00,8.95,8.77,32.20007194896802,29.79734283163325,2014-02-09,8.720833333333333,30.998707390300634,8.81361111111111
2014-02-10 16:35:00,9.030000001341104,8.77,31.87087644399491,29.79734283163325,2014-02-10,8.979166666666666,30.83410963781408,8.926388889335923
2014-02-11 18:05:00,9.460000000670552,9.34,31.06219622799232,28.959998158138674,2014-02-11,9.1,30.011097193065496,9.300000000223518
2014-02-12 06:15:00,9.53,9.34,30.410938456538087,28.959998158138674,2014-02-12,9.291666666666666,29.685468307338382,9.38722222222222
2014-02-13 17:45:00,9.449999991618096,9.87000000067055,16.30919116765937,26.80922030481522,2014-02-13,9.329166666666667,21.559205736237296,9.549722219651771
2014-02-14 08:10:00,9.99,9.91,29.278780810093192,27.27881332921381,2014-02-14,9.404166666666667,28.2787970696535,9.768055555555556
2014-02-15 08:05:00,10.18,10.11,28.72423850600157,26.94294819530692,2014-02-15,9.404166666666667,27.833593350654244,9.898055555555556
2014-02-16 08:55:00,10.02,10.06,28.108694109770862,26.836963486657137,2014-02-16,9.275,27.472828798214,9.784999999999998
2014-02-17 21:20:00,10.38,10.04,28.937562941426723,27.41410604831888,2014-02-17,9.204166666666666,28.175834494872802,9.874722222222223
2014-02-18 08:40:00,10.19,10.15,30.837887252066785,28.176221970187683,2014-02-18,9.3625,29.507054611127234,9.900833333333333
2014-02-19 09:50:00,9.819999995641409,10.15,26.13738776011013,28.176221970187683,2014-02-19,9.174999999999999,27.156804865148906,9.714999998547135
2014-02-20 10:55:00,10.06,9.97,29.031702405046524,27.45311925290552,2014-02-20,9.2125,28.24241082897602,9.7475
2014-02-21 11:25:00,10.16,9.97,28.791544162556093,27.45311925290552,2014-02-21,9.204166666666667,28.122331707730808,9.778055555555556
2014-02-22 12:10:00,9.88,10.12,30.47800153317766,27.360688730061398,2014-02-22,9.491666666666667,28.91934513161953,9.830555555555556
2014-02-23 13:15:00,9.879999994635584,9.89,31.437770333133347,28.523322016548967,2014-02-23,9.616666666666665,29.98054617484116,9.795555553767416
2014-02-24 14:25:00,10.110000000335276,9.93,31.20192772226955,29.256558277880373,2014-02-24,9.5625,30.22924300007496,9.86750000011176
2014-02-25 15:25:00,10.19,10.06,31.190443047691478,28.9026654793543,2014-02-25,9.641666666666667,30.04655426352289,9.963888888888889
2014-02-26 16:40:00,10.39,10.16,31.24886459092451,28.746817274804737,2014-02-26,9.8125,29.997840932864623,10.120833333333334
2014-02-27 15:55:00,10.38,10.38,31.38889581707527,28.77870549276543,2014-02-27,9.870833333333334,30.08380065492035,10.210277777777778
2014-02-28 05:50:00,10.7,10.35,31.193101535599588,28.89854164818968,2014-02-28,10.108333333333333,30.045821591894637,10.386111111111111
2014-03-01 18:30:00,10.78,10.6,31.261367208535745,28.80551050028039,2014-03-01,10.245833333333334,30.033438854408068,10.541944444444445
2014-03-02 07:15:00,10.84,10.77,30.99076041403232,28.939986068698207,2014-03-02,10.016666666666667,29.965373241365263,10.542222222222222
