dayDN,surfaceRiver,bottomRiver,EstimatedTemp,plot_date
2013-03-22,7.912916666590996,8.04672566836076,7.979821167475878,2013-03-22 12:00:00
2013-03-23,7.516562500221188,7.767510268754337,7.642036384487763,2013-03-23 12:00:00
2013-03-24,7.452579365192455,7.669525674769944,7.5610525199811995,2013-03-24 12:00:00
2013-03-25,7.752697674501254,7.806513926927617,7.779605800714435,2013-03-25 12:00:00
2013-03-26,8.29762162160531,8.316744468041275,8.307183044823294,2013-03-26 12:00:00
2013-03-27,8.786122448954504,8.919760858080425,8.852941653517465,2013-03-27 12:00:00
2013-03-28,9.366717557011327,9.557550097528381,9.462133827269854,2013-03-28 12:00:00
2013-03-29,10.151043477951832,10.436156827240328,10.293600152596081,2013-03-29 12:00:00
2013-03-30,11.159572649363463,11.048510066784718,11.104041358074092,2013-03-30 12:00:00
2013-03-31,12.2009589035263,11.865563442600894,12.033261173063597,2013-03-31 12:00:00
2013-04-01,12.599189189030612,12.68261681841707,12.640903003723842,2013-04-01 12:00:00
2013-04-02,12.365607476923792,12.51163769385971,12.438622585391752,2013-04-02 12:00:00
2013-04-03,12.543823529451208,12.267403449828478,12.405613489639844,2013-04-03 12:00:00
2013-04-04,12.319577464920958,12.023169205797247,12.171373335359103,2013-04-04 12:00:00
2013-04-05,11.877692309609401,11.778934961766016,11.828313635687708,2013-04-05 12:00:00
2013-04-06,11.51757281550143,11.534700717734784,11.526136766618107,2013-04-06 12:00:00
2013-04-07,10.691271929949556,10.755472841905902,10.723372385927728,2013-04-07 12:00:00
2013-04-08,9.276215277841807,9.420098148631684,9.348156713236746,2013-04-08 12:00:00
2013-04-09,8.786620208955261,8.85843308057548,8.822526644765372,2013-04-09 12:00:00
2013-04-10,9.364680851038148,9.393006489849357,9.378843670443754,2013-04-10 12:00:00
2013-04-11,9.740822510767359,9.847866783132078,9.794344646949718,2013-04-11 12:00:00
2013-04-12,9.754193548203236,9.946683171495193,9.850438359849214,2013-04-12 12:00:00
2013-04-13,9.658755760263599,9.902040546524827,9.780398153394213,2013-04-13 12:00:00
2013-04-14,9.647669902731963,9.905117258296746,9.776393580514355,2013-04-14 12:00:00
2013-04-15,9.411521739098365,9.707356447444466,9.559439093271415,2013-04-15 12:00:00
2013-04-16,9.356015936383212,9.605904514416789,9.4809602254,2013-04-16 12:00:00
2013-04-17,9.82740310084277,9.961103920943955,9.894253510893362,2013-04-17 12:00:00
2013-04-18,10.565916030559945,10.425768347738552,10.495842189149249,2013-04-18 12:00:00
2013-04-19,10.974223107672575,10.945597118128166,10.95991011290037,2013-04-19 12:00:00
2013-04-20,10.754202334756895,10.948559849204209,10.851381091980553,2013-04-20 12:00:00
2013-04-21,11.16886956510515,11.385570791902806,11.277220178503978,2013-04-21 12:00:00
2013-04-22,11.212511627922572,11.482390316481691,11.347450972202132,2013-04-22 12:00:00
2013-04-23,11.692365591417676,11.905749918445016,11.799057754931347,2013-04-23 12:00:00
2013-04-24,11.81479999998212,12.159346864138376,11.987073432060248,2013-04-24 12:00:00
2013-04-25,12.381649484532627,,12.381649484532627,2013-04-25 12:00:00
2013-04-26,12.68014705882353,,12.68014705882353,2013-04-26 12:00:00
2013-04-27,13.286333333333333,,13.286333333333333,2013-04-27 12:00:00
2013-04-28,13.647333333333332,,13.647333333333332,2013-04-28 12:00:00
2013-04-29,13.661904761904761,,13.661904761904761,2013-04-29 12:00:00
2013-04-30,13.731379310344828,,13.731379310344828,2013-04-30 12:00:00
2013-05-01,13.264655172413791,,13.264655172413791,2013-05-01 12:00:00
2013-05-02,13.368739495798318,,13.368739495798318,2013-05-02 12:00:00
2013-05-03,13.719473684210525,14.111627132860887,13.915550408535706,2013-05-03 12:00:00
2013-05-04,14.941875,14.4437744517586,14.6928247258793,2013-05-04 12:00:00
2013-05-05,15.245000000000001,15.72983257044114,15.48741628522057,2013-05-05 12:00:00
2013-05-06,15.839845849221872,17.01589068912368,16.427868269172777,2013-05-06 12:00:00
2013-05-07,15.888724887693204,16.601047734133054,16.24488631091313,2013-05-07 12:00:00
2013-05-08,16.05854008877849,16.659221751737938,16.358880920258215,2013-05-08 12:00:00
2013-05-09,16.119713171192682,16.830735950232853,16.475224560712768,2013-05-09 12:00:00
2013-05-10,16.421166937499752,17.084277391862624,16.752722164681188,2013-05-10 12:00:00
2013-05-11,16.105648262457702,17.910085866513914,17.007867064485808,2013-05-11 12:00:00
2013-05-12,17.239216442320238,18.421572106871466,17.830394274595854,2013-05-12 12:00:00
2013-05-13,16.834510907970564,17.66931168258892,17.25191129527974,2013-05-13 12:00:00
2013-05-14,16.369519111055286,18.76142913962034,17.565474125337815,2013-05-14 12:00:00
2013-05-15,15.89299942207861,17.62693518345549,16.759967302767052,2013-05-15 12:00:00
2013-05-16,15.416479733101934,18.050801709583425,16.73364072134268,2013-05-16 12:00:00
2013-05-17,15.376639239569755,18.76943800946267,17.073038624516215,2013-05-17 12:00:00
2013-05-18,15.336798746037577,17.201697311291802,16.26924802866469,2013-05-18 12:00:00
2013-05-19,15.027887439270097,15.633956613120937,15.330922026195516,2013-05-19 12:00:00
2013-05-20,15.290601624541786,15.307619197593066,15.299110411067426,2013-05-20 12:00:00
2013-05-21,15.554556975100855,15.307619197593066,15.43108808634696,2013-05-21 12:00:00
