Tm (UTC),Qnet,Qnet_clean,lowpass
2012-12-22 10:00:00,-109.36101117169855,-109.36101117169855,-90.84612351278219
2012-12-22 11:00:00,-116.10374156113042,-116.10374156113042,-96.30544436062235
2012-12-22 12:00:00,-121.73801502184429,-121.73801502184429,-101.44724296927501
2012-12-22 13:00:00,-126.93330233624485,-126.93330233624485,-106.19392421093092
2012-12-22 14:00:00,-138.4821291750615,-138.4821291750615,-110.4835132129543
2012-12-22 15:00:00,-179.76629004120028,-179.76629004120028,-114.26918357473555
2012-12-22 16:00:00,-192.93586451293248,-192.93586451293248,-117.51819515017405
2012-12-22 17:00:00,-162.8269955475906,-162.8269955475906,-120.21032959496357
2012-12-22 18:00:00,-128.62233697579524,-128.62233697579524,-122.33594617947365
2012-12-22 19:00:00,-57.86050726404167,-57.86050726404167,-123.89382264463413
2012-12-22 20:00:00,-11.799794638805551,-11.799794638805551,-124.88898651401698
2012-12-22 21:00:00,61.89664789222109,61.89664789222109,-125.33076526078797
2012-12-22 22:00:00,7.195437275680609,7.195437275680609,-125.23127341565237
2012-12-22 23:00:00,-46.446807595985184,-46.446807595985184,-124.60450279822167
2012-12-23 00:00:00,-134.08282750520692,-134.08282750520692,-123.46609339519787
2012-12-23 01:00:00,-146.12077233663283,-146.12077233663283,-121.83375706434629
2012-12-23 02:00:00,-139.0564954748477,-139.0564954748477,-119.72823250421432
2012-12-23 03:00:00,-149.0607427897029,-149.0607427897029,-117.1745893832951
2012-12-23 04:00:00,-162.3595543608339,-162.3595543608339,-114.20367635960427
2012-12-23 05:00:00,-152.21313449237553,-152.21313449237553,-110.8535120513388
2012-12-23 06:00:00,-147.26374454953668,-147.26374454953668,-107.17043778238701
2012-12-23 07:00:00,-145.45970193387433,-145.45970193387433,-103.20987913848957
2012-12-23 08:00:00,-146.41285148819998,-146.41285148819998,-99.03659675726264
2012-12-23 09:00:00,-149.01635291915866,-149.01635291915866,-94.72434290318202
2012-12-23 10:00:00,-144.68586528874732,-144.68586528874732,-90.35487788465589
2012-12-23 11:00:00,-129.25748452436062,-129.25748452436062,-86.01633960086626
2012-12-23 12:00:00,-108.76275592465981,-108.76275592465981,-81.80100110311295
2012-12-23 13:00:00,-92.65967137278605,-92.65967137278605,-77.802493901772
2012-12-23 14:00:00,-81.08076920615522,-81.08076920615522,-74.11261542685196
2012-12-23 15:00:00,-74.86914414522352,-74.86914414522352,-70.81787336343649
2012-12-23 16:00:00,-71.00231199808977,-71.00231199808977,-67.99594489591784
2012-12-23 17:00:00,-79.84460175316984,-79.84460175316984,-65.7122453415072
2012-12-23 18:00:00,-16.761119772052965,-16.761119772052965,-64.01681044244413
2012-12-23 19:00:00,32.472381804733914,32.472381804733914,-62.94170152692082
2012-12-23 20:00:00,88.25024169755412,88.25024169755412,-62.49914045729985
2012-12-23 21:00:00,118.9541630938162,118.9541630938162,-62.680562872517065
2012-12-23 22:00:00,47.93226876673397,47.93226876673397,-63.45673181838301
2012-12-23 23:00:00,-14.327095157680555,-14.327095157680555,-64.77897363854606
2012-12-24 00:00:00,-87.54384651429169,-87.54384651429169,-66.58149235994503
2012-12-24 01:00:00,-134.43960733003925,-134.43960733003925,-68.78461030780524
2012-12-24 02:00:00,-128.52236403708363,-128.52236403708363,-71.29869805202851
