YY,MM,DD,hh,WTMP
2013,11,25,15,11.5
2013,11,25,16,11.5
2013,11,25,17,11.4
2013,11,25,18,11.3
2013,11,25,19,11.3
2013,11,25,20,11.3
2013,11,25,21,11.3
2013,11,25,22,11.4
2013,11,25,23,11.5
2013,11,26,0,11.5
2013,11,26,1,11.5
2013,11,26,2,11.5
2013,11,26,3,11.5
2013,11,26,4,11.5
2013,11,26,5,11.4
2013,11,26,6,11.4
2013,11,26,7,11.4
2013,11,26,8,11.4
2013,11,26,9,11.3
2013,11,26,10,11.4
2013,11,26,11,11.4
2013,11,26,12,11.4
2013,11,26,13,11.4
2013,11,26,14,11.4
2013,11,26,15,11.4
2013,11,26,16,11.4
2013,11,26,17,11.4
2013,11,26,18,11.4
2013,11,26,19,11.5
2013,11,26,20,11.5
2013,11,26,21,11.5
2013,11,26,22,11.5
2013,11,26,23,11.5
2013,11,27,0,11.5
2013,11,27,1,11.5
2013,11,27,2,11.5
2013,11,27,3,11.5
2013,11,27,4,11.5
2013,11,27,5,11.5
2013,11,27,6,11.4
2013,11,27,7,11.4
2013,11,27,8,11.4
2013,11,27,9,11.4
2013,11,27,10,11.4
2013,11,27,11,11.4
2013,11,27,12,11.4
2013,11,27,13,11.3
2013,11,27,14,11.3
2013,11,27,15,11.2
2013,11,27,16,11.2
2013,11,27,17,11.3
2013,11,27,18,11.3
2013,11,27,19,11.3
2013,11,27,20,11.3
2013,11,27,21,11.3
2013,11,27,22,11.4
2013,11,27,23,11.4
2013,11,28,0,11.4
2013,11,28,1,11.3
2013,11,28,2,11.2
2013,11,28,3,11.2
2013,11,28,4,11.2
2013,11,28,5,10.8
2013,11,28,6,10.6
2013,11,28,7,10.5
2013,11,28,8,10.6
2013,11,28,9,10.5
2013,11,28,10,10.6
2013,11,28,11,10.6
2013,11,28,12,10.5
2013,11,28,13,10.5
2013,11,28,14,10.5
2013,11,28,15,10.5
2013,11,28,16,10.5
2013,11,28,17,10.5
2013,11,28,18,10.7
2013,11,28,19,10.9
2013,11,28,20,11
2013,11,28,21,11
2013,11,28,22,10.7
2013,11,28,23,10.7
2013,11,29,0,10.6
2013,11,29,1,10.5
2013,11,29,2,10.5
2013,11,29,3,10.5
2013,11,29,4,10.5
2013,11,29,5,10.5
2013,11,29,6,10.5
2013,11,29,7,10.4
2013,11,29,8,10.4
2013,11,29,9,10.4
2013,11,29,10,10.4
2013,11,29,11,10.4
2013,11,29,12,10.4
2013,11,29,13,10.4
2013,11,29,14,10.5
2013,11,29,15,10.5
2013,11,29,16,10.5
2013,11,29,17,10.5
2013,11,29,18,10.5
2013,11,29,19,10.5
2013,11,29,20,10.5
2013,11,29,21,10.5
2013,11,29,22,10.5
2013,11,29,23,10.5
2013,11,30,0,10.5
2013,11,30,1,10.5
2013,11,30,2,10.5
2013,11,30,3,10.5
2013,11,30,4,10.4
2013,11,30,5,10.4
2013,11,30,6,10.4
2013,11,30,7,10.4
2013,11,30,8,10.4
2013,11,30,9,10.4
2013,11,30,10,10.4
2013,11,30,11,10.4
2013,11,30,12,10.4
2013,11,30,13,10.4
2013,11,30,14,10.3
2013,11,30,15,10.3
2013,11,30,16,10.3
2013,11,30,17,10.3
2013,11,30,18,10.4
2013,11,30,19,10.4
2013,11,30,20,10.4
2013,11,30,21,10.5
2013,11,30,22,10.7
2013,11,30,23,10.6
2013,12,1,0,10.5
2013,12,1,1,10.4
2013,12,1,2,10.4
2013,12,1,3,10.4
2013,12,1,4,10.4
2013,12,1,5,10.4
2013,12,1,6,10.4
2013,12,1,7,10.5
2013,12,1,8,10.6
2013,12,1,9,10.5
2013,12,1,10,10.4
2013,12,1,11,10.4
2013,12,1,12,10.4
2013,12,1,13,10.4
2013,12,1,14,10.6
2013,12,1,15,10.8
2013,12,1,16,10.8
2013,12,1,17,10.8
2013,12,1,18,10.8
2013,12,1,19,10.8
2013,12,1,20,10.8
2013,12,1,21,10.8
2013,12,1,22,10.8
2013,12,1,23,10.7
2013,12,2,0,10.7
2013,12,2,1,10.7
2013,12,2,2,10.7
2013,12,2,3,10.7
2013,12,2,4,10.7
2013,12,2,5,10.8
2013,12,2,6,10.8
2013,12,2,7,10.8
2013,12,2,8,10.9
2013,12,2,9,10.9
2013,12,2,10,10.9
2013,12,2,11,10.9
2013,12,2,12,10.9
2013,12,2,13,10.8
2013,12,2,14,10.7
2013,12,2,15,10.7
2013,12,2,16,10.6
2013,12,2,17,10.6
2013,12,2,18,10.9
2013,12,2,19,10.9
2013,12,2,20,10.9
2013,12,2,21,11
2013,12,2,22,11
2013,12,2,23,11
2013,12,3,0,11
2013,12,3,1,11
2013,12,3,2,11.1
2013,12,3,3,11.1
2013,12,3,4,11.1
2013,12,3,5,11
2013,12,3,6,10.9
2013,12,3,7,10.9
2013,12,3,8,10.9
2013,12,3,9,10.8
2013,12,3,10,10.7
2013,12,3,11,10.7
2013,12,3,12,10.7
2013,12,3,13,10.7
2013,12,3,14,10.7
2013,12,3,15,10.7
2013,12,3,16,10.8
2013,12,3,17,10.8
2013,12,3,18,10.9
2013,12,3,19,10.9
2013,12,3,20,11
2013,12,3,21,11.1
2013,12,3,22,11.1
2013,12,3,23,11.1
2013,12,4,0,11.1
2013,12,4,1,11
2013,12,4,2,11
2013,12,4,3,11
2013,12,4,4,11
2013,12,4,5,11
2013,12,4,6,11
2013,12,4,7,11
2013,12,4,8,10.9
2013,12,4,9,10.9
2013,12,4,10,10.9
2013,12,4,11,10.9
2013,12,4,12,10.8
2013,12,4,13,10.8
2013,12,4,14,10.8
2013,12,4,15,10.8
2013,12,4,16,10.9
2013,12,4,17,10.9
2013,12,4,18,10.9
2013,12,4,19,10.9
2013,12,4,20,11
2013,12,4,21,11
2013,12,4,22,11.1
2013,12,4,23,11.1
2013,12,5,0,11.1
2013,12,5,1,11.1
2013,12,5,2,11.1
2013,12,5,3,11
2013,12,5,4,11
2013,12,5,5,10.9
2013,12,5,6,10.9
2013,12,5,7,10.9
2013,12,5,8,10.9
2013,12,5,9,10.9
2013,12,5,10,10.9
2013,12,5,11,10.7
2013,12,5,12,10.4
2013,12,5,13,10.3
2013,12,5,14,10.2
2013,12,5,15,10.2
2013,12,5,16,10.6
2013,12,5,17,10.7
2013,12,5,18,10.8
2013,12,5,19,10.9
2013,12,5,20,10.9
2013,12,5,21,10.7
2013,12,5,22,10.3
2013,12,5,23,10
2013,12,6,0,9.9
2013,12,6,1,9.9
2013,12,6,2,9.8
2013,12,6,3,9.7
2013,12,6,4,9.8
2013,12,6,5,9.8
2013,12,6,6,9.8
2013,12,6,7,9.9
2013,12,6,8,10
2013,12,6,9,10
2013,12,6,10,10
2013,12,6,11,10.1
2013,12,6,12,9.9
2013,12,6,13,10.1
2013,12,6,14,10.2
2013,12,6,15,10.2
2013,12,6,16,10.2
2013,12,6,17,10.2
2013,12,6,18,10.1
2013,12,6,19,10
2013,12,6,20,10.1
2013,12,6,21,10
2013,12,6,22,10
2013,12,6,23,10
2013,12,7,0,10.1
2013,12,7,1,10
2013,12,7,2,10.2
2013,12,7,3,10.5
2013,12,7,4,10.3
2013,12,7,5,10.1
2013,12,7,6,10.1
2013,12,7,7,10.1
2013,12,7,8,10.1
2013,12,7,9,10.1
2013,12,7,10,10
2013,12,7,11,9.3
2013,12,7,12,9.4
2013,12,7,13,9.4
2013,12,7,14,9.4
2013,12,7,15,9.3
2013,12,7,16,9.4
2013,12,7,17,9.4
2013,12,7,18,9.4
2013,12,7,19,9.5
2013,12,7,20,9.6
2013,12,7,21,9.7
2013,12,7,22,9.8
2013,12,7,23,9.7
2013,12,8,0,9.9
2013,12,8,1,10.3
2013,12,8,2,10.4
2013,12,8,3,10
2013,12,8,4,9.6
2013,12,8,5,9.4
2013,12,8,6,9.4
2013,12,8,7,9.7
2013,12,8,8,10.2
2013,12,8,9,10.2
2013,12,8,10,10.2
2013,12,8,11,10.3
2013,12,8,12,10
2013,12,8,13,10
2013,12,8,14,10.2
2013,12,8,15,10.1
2013,12,8,16,9.8
2013,12,8,17,9.8
2013,12,8,18,10.1
2013,12,8,19,10.3
2013,12,8,20,10.2
2013,12,8,21,10.2
2013,12,8,22,10.1
2013,12,8,23,10.2
2013,12,9,0,9.3
2013,12,9,1,9
2013,12,9,2,9.1
2013,12,9,3,9.1
2013,12,9,4,8.9
2013,12,9,5,8.9
2013,12,9,6,8.9
2013,12,9,7,8.9
2013,12,9,8,8.8
2013,12,9,9,8.7
2013,12,9,10,8.9
2013,12,9,11,8.9
2013,12,9,12,9.2
2013,12,9,13,8.8
2013,12,9,14,8.8
2013,12,9,15,8.6
2013,12,9,16,8.7
2013,12,9,17,8.8
2013,12,9,18,8.8
2013,12,9,19,8.8
2013,12,9,20,8.9
2013,12,9,21,8.8
2013,12,9,22,10
2013,12,9,23,10
2013,12,10,0,9.9
2013,12,10,1,9.2
2013,12,10,2,8.7
2013,12,10,3,8.8
2013,12,10,4,8.8
2013,12,10,5,8.8
2013,12,10,6,9
2013,12,10,7,8.9
2013,12,10,8,8.9
2013,12,10,9,9
2013,12,10,10,9
2013,12,10,11,9
2013,12,10,12,9
2013,12,10,13,8.9
2013,12,10,14,8.8
2013,12,10,15,8.8
2013,12,10,16,8.8
2013,12,10,17,8.8
2013,12,10,18,8.8
2013,12,10,19,8.9
2013,12,10,20,8.9
2013,12,10,21,8.9
2013,12,10,22,8.9
2013,12,10,23,8.9
2013,12,11,0,8.9
2013,12,11,1,8.9
2013,12,11,2,8.8
2013,12,11,3,8.7
2013,12,11,4,8.7
2013,12,11,5,8.7
2013,12,11,6,8.7
2013,12,11,7,8.7
2013,12,11,8,8.7
2013,12,11,9,8.7
2013,12,11,10,8.7
2013,12,11,11,8.7
2013,12,11,12,8.8
2013,12,11,13,8.8
2013,12,11,14,8.8
2013,12,11,15,8.9
2013,12,11,16,8.9
2013,12,11,17,8.9
2013,12,11,18,9
2013,12,11,19,9.1
2013,12,11,20,9.1
2013,12,11,21,9.1
2013,12,11,22,9
2013,12,11,23,9
2013,12,12,0,9
2013,12,12,1,9
2013,12,12,2,9.1
2013,12,12,3,9.1
2013,12,12,4,9.1
2013,12,12,5,9.2
2013,12,12,6,9.3
2013,12,12,7,9.4
2013,12,12,8,9.4
2013,12,12,9,9.1
2013,12,12,10,8.7
2013,12,12,11,8.6
2013,12,12,12,8.6
2013,12,12,13,8.8
2013,12,12,14,8.8
2013,12,12,15,8.9
2013,12,12,16,8.8
2013,12,12,17,8.7
2013,12,12,18,8.7
2013,12,12,19,8.7
2013,12,12,20,8.8
2013,12,12,21,8.8
2013,12,12,22,8.8
2013,12,12,23,9.2
2013,12,13,0,9.1
2013,12,13,1,9
2013,12,13,2,9
2013,12,13,3,9.2
2013,12,13,4,9.3
2013,12,13,5,9.2
2013,12,13,6,9
2013,12,13,7,9
2013,12,13,8,9
2013,12,13,9,9
2013,12,13,10,9
2013,12,13,11,9
2013,12,13,12,9
2013,12,13,13,8.9
2013,12,13,14,8.9
2013,12,13,15,8.9
2013,12,13,16,8.9
2013,12,13,17,9
2013,12,13,18,9
2013,12,13,19,9.1
2013,12,13,20,9.2
2013,12,13,21,9.2
2013,12,13,22,9.2
2013,12,13,23,9.2
2013,12,14,0,9.1
2013,12,14,1,9.1
2013,12,14,2,9
2013,12,14,3,9
2013,12,14,4,9
2013,12,14,5,9
2013,12,14,6,9
2013,12,14,7,9
2013,12,14,8,9.1
