Y,M,D,h,min,SAL
2013,5,7,18,20,30.4
2013,5,7,18,30,30.4
2013,5,7,18,40,30.4
2013,5,7,18,50,30.4
2013,5,7,19,0,30.5
2013,5,7,19,10,30.5
2013,5,7,19,20,30.5
2013,5,7,19,30,30.5
2013,5,7,19,40,30.5
2013,5,7,19,50,30.5
2013,5,7,20,0,30.5
2013,5,7,20,10,30.5
2013,5,7,20,20,30.5
2013,5,7,20,30,30.5
2013,5,7,20,40,30.5
2013,5,7,20,50,30.5
2013,5,7,21,0,30.5
2013,5,7,21,10,30.4
2013,5,7,21,20,30.3
2013,5,7,21,30,30.2
2013,5,7,21,40,30.1
2013,5,7,21,50,30.1
2013,5,7,22,0,30
2013,5,7,22,10,30
2013,5,7,22,20,29.9
2013,5,7,22,30,29.9
2013,5,7,22,40,29.9
2013,5,7,22,50,29.9
2013,5,7,23,0,29.9
2013,5,7,23,10,29.8
2013,5,7,23,20,29.8
2013,5,7,23,30,29.8
2013,5,7,23,40,29.8
2013,5,7,23,50,29.8
2013,5,8,0,0,29.7
2013,5,8,0,10,29.9
2013,5,8,0,20,30.2
2013,5,8,0,30,29.9
2013,5,8,0,40,29.9
2013,5,8,0,50,29.9
2013,5,8,1,0,30
2013,5,8,1,10,30
2013,5,8,1,20,30
2013,5,8,1,30,30
2013,5,8,1,40,30
2013,5,8,1,50,30.1
2013,5,8,2,0,30.2
2013,5,8,2,10,30.2
2013,5,8,2,20,30.2
2013,5,8,2,30,30.3
2013,5,8,2,40,30.4
2013,5,8,2,50,30.5
2013,5,8,3,0,30.6
2013,5,8,3,10,30.7
2013,5,8,3,20,30.9
2013,5,8,3,30,30.9
2013,5,8,3,40,31.1
2013,5,8,3,50,31.1
2013,5,8,4,0,31.2
2013,5,8,4,10,31.2
2013,5,8,4,20,31.3
2013,5,8,4,30,31.3
2013,5,8,4,40,31.3
2013,5,8,4,50,31.4
2013,5,8,5,0,31.4
2013,5,8,5,10,31.3
2013,5,8,5,20,31.3
2013,5,8,5,30,31.2
2013,5,8,5,40,31.2
2013,5,8,5,50,31.2
2013,5,8,6,0,31.2
2013,5,8,6,10,31.2
2013,5,8,6,20,31.2
2013,5,8,6,30,31.2
2013,5,8,6,40,31.2
2013,5,8,6,50,31.2
2013,5,8,7,0,31.2
2013,5,8,7,10,31.2
2013,5,8,7,20,31.2
2013,5,8,7,30,31.2
2013,5,8,7,40,31.2
2013,5,8,7,50,31.2
2013,5,8,8,0,31.2
2013,5,8,8,10,31.2
2013,5,8,8,20,31.2
2013,5,8,8,30,31.2
2013,5,8,8,40,31.2
2013,5,8,8,50,31.2
2013,5,8,9,0,31.2
2013,5,8,9,10,31.2
2013,5,8,9,20,31.2
2013,5,8,9,30,31.3
2013,5,8,9,40,31.5
2013,5,8,9,50,31.5
2013,5,8,10,0,31.3
2013,5,8,10,10,31.3
2013,5,8,10,20,31.2
2013,5,8,10,30,31.5
2013,5,8,10,40,31.2
2013,5,8,10,50,31.1
2013,5,8,11,0,30.9
2013,5,8,11,10,30.9
2013,5,8,11,20,30.8
2013,5,8,11,30,30.8
2013,5,8,11,40,30.8
2013,5,8,11,50,30.8
2013,5,8,12,0,30.8
2013,5,8,12,10,30.8
2013,5,8,12,20,30.7
2013,5,8,12,30,30.7
2013,5,8,12,40,30.7
