DN,C,S,T,P
735616.1284722221,17.927550505358873,16.282598695142575,7.74,
735616.1319444444,17.381709037818588,15.775445332102091,7.670000002346933,
735616.1354166666,17.312729431247934,15.720869962490148,7.64,
735616.1388888889,17.627401261387167,16.018210816989978,7.67,
735616.1423611111,17.67727884271021,16.06293464641177,7.68,
735616.1458333333,17.37386150831441,15.781265487979447,7.640000001341105,
735616.1493055555,16.73477791348905,15.181486571984447,7.57,
735616.1527777778,17.059723296885235,15.493366556128487,7.59,
735616.15625,16.82481592521501,15.270303949172014,7.57,
735616.1597222221,17.115391705141736,15.539433765873948,7.609999998658896,
735616.1631944444,17.450877543897878,15.852839599269043,7.649999998658896,
735616.1666666666,16.534488999517624,14.98839876576934,7.56,
735616.1701388889,17.020902673648315,15.463907404109113,7.57,
735616.1736111111,16.25333032512685,14.74127805494628,7.49,
735616.1770833333,16.110667113700913,14.596568232130451,7.499999999664724,
735616.1805555555,16.428238714312123,14.900871456463173,7.52,
735616.1840277778,16.46798307597789,14.9357577870327,7.53,
735616.1875,15.849201116615449,14.347705614248165,7.48,
735616.1909722221,16.50764287150821,14.970550237154814,7.5399999979883425,
735616.1944444444,16.06489562139318,14.543164462836048,7.520000000670552,
735616.1979166666,15.889764243390864,14.379315647116302,7.5,
735616.2013888889,15.935384713463767,14.415866803333024,7.52,
735616.2048611111,15.910049450418933,14.390977135004782,7.52,
735616.2083333333,14.912111606133921,13.429361384056865,7.480000001341105,
735616.2118055555,14.45241222496088,12.992207366394483,7.45,
735616.2152777778,14.373654653267641,12.915470227740654,7.45,
735616.21875,14.9607011855066,13.48459145777025,7.46,
735616.2222222221,14.787757832302932,13.315591789723937,7.46,
735616.2256944444,14.303569161977592,12.858316965275952,7.420000001341105,
735616.2291666666,14.820074284746187,13.34715602749571,7.46,
735616.2326388889,12.443190960161118,11.092881488918136,7.31,
735616.2361111111,10.803763091249769,9.536521238961846,7.26,
